date,#2a,#amjoy,#as,#ask,#askthegays,#basementdwellers,#bigleagu,#bigleaguetrut,#bigleaguetruth,#cbn2016,#christianity,#foxnews,#guccifer2,#hannity,#hillary,#imwithher,#ingov,#isis,#j4jednation,#kaine,#kainewreck,#kellyfile,#kreepykaine,#lgbt,#lgbtq,#liar,#maga,#makeame,#makeamerica,#makeamericagreatagain,#mikepence,#nancyleegrahn,#never,#notmyticket,#obamacare,#paytoplay,#pe,#pence,#pencelies,#pencesgreatesthits,#pencewon,#prolife,#reprohealth,#resolve,#rfra,#thatmexicanthing,#thatmexicanthingagain,#thuglife,#tru,#trump,#trump's,#trump2016,#trumppence16,#trumppence2016,#trumptrain,#vp,#vpd,#winner
2016-10-04 20:00:00,0,0,0,0,63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,37,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,6,0,0,0
2016-10-04 20:05:00,0,0,14,0,62,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,27,0,7,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0
2016-10-04 20:10:00,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,14,0,20,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,10,0,0,15,0,0,0,0,0
2016-10-04 20:15:00,0,0,36,0,53,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,27,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,15,0,0,0,0,0
2016-10-04 20:20:00,0,0,17,0,36,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,22,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,12,0,7,0,0,0
2016-10-04 20:25:00,0,10,19,0,34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,10,0,7,0,0,0
2016-10-04 20:30:00,0,8,8,0,47,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,12,0,0,0,0,0
2016-10-04 20:35:00,0,0,5,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,13,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,18,0,4,0,0,0
2016-10-04 20:40:00,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,13,0,5,0,0,0
2016-10-04 20:45:00,0,0,8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,18,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,25,0,7,0,0,0
2016-10-04 20:50:00,0,0,28,0,34,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,7,18,7,0,0,0
2016-10-04 20:55:00,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,27,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,30,28,0,0,17,0
2016-10-04 21:00:00,0,0,0,0,24,0,0,0,64,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,27,0,41,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33,16,14,0,0,0
2016-10-04 21:05:00,0,0,15,0,17,0,0,0,38,0,0,29,0,0,0,0,13,0,0,0,0,0,0,0,0,0,36,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,139,0,0,0,0,0
2016-10-04 21:10:00,0,0,14,0,18,0,0,0,46,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,12,0,14,0,0,72,0,0,13,0,0
2016-10-04 21:15:00,0,0,0,0,152,0,0,0,136,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,139,0,90,0,0,0,0,0,0,0,0,256,0,25,0,0,0,0,0,0,56,0,0,0,0,0,0,0,115,0,0,0,31,0
2016-10-04 21:20:00,0,0,0,237,77,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,150,0,0,43,0,0,0,0,55,133,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,98,0,0,0,0,0
2016-10-04 21:25:00,0,0,0,83,153,0,0,0,408,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,134,0,140,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,92,0,0,0,176,0
2016-10-04 21:30:00,0,0,0,0,58,0,0,0,339,0,0,0,0,0,0,41,0,0,0,55,0,0,0,0,96,0,144,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,50,0,115,0
2016-10-04 21:35:00,0,0,0,0,0,0,125,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,99,69,44,103,121,0
2016-10-04 21:40:00,0,0,0,0,0,0,1700,0,409,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,195,0,102,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,70,0,0,239,0,0,65,0,0
2016-10-04 21:45:00,0,0,0,0,0,0,603,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,102,0,0,206,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,178,66,0,0,285,0,0,96,0,0
2016-10-04 21:50:00,0,0,0,0,0,0,285,0,146,0,0,0,0,0,0,0,0,485,0,93,0,0,0,0,123,61,130,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,61
2016-10-04 21:55:00,0,0,0,0,199,0,203,0,374,0,0,0,0,0,0,0,0,1172,0,75,0,0,0,0,78,0,300,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,162,0,0,0,0,0
2016-10-04 22:00:00,0,0,0,0,78,0,176,322,566,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,127,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,127,88,0,0
2016-10-04 22:05:00,0,0,0,0,0,0,119,1025,562,0,0,0,0,0,0,0,0,328,0,102,0,0,0,0,148,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,484,104,0,0
2016-10-04 22:10:00,0,0,0,0,0,297,0,1075,250,0,0,0,0,0,0,237,0,183,0,0,0,0,0,0,203,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,195,124,0,0
2016-10-04 22:15:00,0,0,0,0,0,1198,0,377,178,0,0,0,0,0,0,104,0,132,0,0,0,0,0,0,95,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,123,105,0,0
2016-10-04 22:20:00,0,0,0,0,0,512,73,218,90,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,83,0,93,79,0,0
2016-10-04 22:25:00,0,0,0,0,0,264,0,119,86,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,215,0,0,0,0,0,0,0,90,211,0,0,0,0,0,0,0,0,0,101,0,84,0,0,0
2016-10-04 22:30:00,0,0,0,0,0,212,0,128,105,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,714,0,0,0,0,0,0,580,0,0,0,0,0,0,0,100,312,0,0,0,0,0,0,0,0,0,127,0,613,0,0,0
2016-10-04 22:35:00,100,0,0,0,0,195,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,679,0,0,86,0,0,0,292,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,205,0,309,0,0,0
2016-10-04 22:40:00,223,0,0,0,0,171,0,114,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,922,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,222,0,86,0
2016-10-04 22:45:00,140,0,0,0,0,193,0,134,124,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,911,0,170,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,173,0,0,0
2016-10-04 22:50:00,106,0,0,0,0,147,0,98,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,79,211,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,149,0,157,0,0,0
2016-10-04 22:55:00,85,0,0,0,0,116,0,67,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,587,0,0,249,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,114,0,131,0,0,0
2016-10-04 23:00:00,60,0,0,0,0,105,0,61,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,467,0,0,175,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,108,0,121,0,0,0
2016-10-04 23:05:00,0,0,0,0,0,92,50,80,65,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,446,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,87,60,0,0
2016-10-04 23:10:00,0,0,0,0,0,76,48,60,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,314,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,62,0,0,0,0,99,58,0,0
2016-10-04 23:15:00,0,0,0,0,0,56,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,276,0,0,0,0,0,0,51,0,0,0,0,40,0,0,0,0,0,0,0,59,0,0,44,0,67,0,0,0
2016-10-04 23:20:00,0,0,0,0,0,47,0,36,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,215,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,34,0,0,54,0,70,0,0,0
2016-10-04 23:25:00,34,0,0,0,0,56,0,48,47,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,254,0,0,178,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,88,0,0,0
2016-10-04 23:30:00,0,0,0,0,0,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,29,35,0,0,0,0,251,0,0,132,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,28,0,0,40,0,106,0,0,0
2016-10-04 23:35:00,0,0,0,0,0,63,37,36,33,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,187,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,32,0,0,0,0,50,0,0,0
2016-10-04 23:40:00,24,0,0,0,0,62,0,42,25,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,21,0,153,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,55,0,0,0
2016-10-04 23:45:00,0,0,0,0,0,44,22,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,115,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,0,16,0,80,0,0,0
2016-10-04 23:50:00,0,0,0,0,0,43,18,27,22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,146,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,20,51,0,0,0
2016-10-04 23:55:00,0,0,0,0,0,55,23,36,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,142,0,0,77,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,22,0,0,33,0,58,0,0,0
2016-10-05 00:00:00,0,0,0,0,0,25,17,23,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,109,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,44,0,0,0
2016-10-05 00:05:00,0,0,0,0,0,39,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,133,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,0,20,0,44,0,0,0
2016-10-05 00:10:00,0,0,0,0,0,32,16,20,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,98,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,23,0,0,16,0,35,0,0,0
2016-10-05 00:15:00,0,0,0,0,0,33,0,26,29,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,103,0,0,49,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,71,0,0,0,0,0,0,23,0,25,0,0,0
2016-10-05 00:20:00,0,0,0,0,0,31,0,24,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,13,0,0,17,0,24,0,0,0
2016-10-05 00:25:00,0,0,0,0,0,28,0,25,21,0,0,0,0,0,0,0,0,16,0,0,15,0,0,0,0,0,88,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,52,0,0,0,0,0,0,0,0,35,0,0,0
2016-10-05 00:30:00,0,0,0,0,0,24,0,17,17,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,73,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,16,0,27,0,0,0
2016-10-05 00:35:00,0,0,0,0,0,29,0,19,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,64,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12,0,14,0,12,0
2016-10-05 00:40:00,0,0,0,0,0,22,0,15,11,0,0,0,0,21,0,0,0,13,0,0,0,0,0,0,0,0,73,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,21,0,0,0
2016-10-05 00:45:00,0,0,0,0,0,24,0,12,14,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,12,0,0,0
2016-10-05 00:50:00,0,0,0,0,0,20,11,12,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,54,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,15,0,0,0
2016-10-05 00:55:00,0,0,0,0,0,18,13,20,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,49,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,16,0,0,0
2016-10-05 01:00:00,10,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,59,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,0,11,0,0,0,0,17,0,0,0
2016-10-05 01:05:00,7,0,0,0,0,19,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,8,0,0,6,0,0,0,0,0
2016-10-05 01:10:00,0,0,0,0,0,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,47,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,11,19,0,0,0,0,0,11,0,15,0,0,0
2016-10-05 01:15:00,0,0,0,0,0,12,0,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,0,0,0,0,6,0,8,0,0,0
2016-10-05 01:20:00,0,0,0,0,0,13,0,14,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,34,0,0,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,40,0,0,0,0,0,0,0,13,0,0,0
2016-10-05 01:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
